"","GENE","FREQUENCY"
"508","TNFAIP6",1
"509","TNFRSF11B",1
"510","TNNT1",1
"511","TNS3",1
"512","TP53I11",1
"513","TPI1",1
"514","TPM2",1
"515","TPX2",1
"516","TRIB3",1
"517","TROAP",1
"518","TSC22D1",1
"519","TSPAN13",1
"520","TSTD1",1
"521","TTLL3",1
"522","TTYH3",1
"523","TUBA1A",1
"524","TUBA1B",1
"525","TUBB2A",1
"526","TUBB4B",1
"527","TXNRD2",1
"528","UBB",1
"529","UBC",1
"530","UBE2C",1
"531","UBE2S",1
"532","UCHL1",1
"533","USP10",1
"534","UTP3",1
"535","VEPH1",1
"536","VPS26A",1
"537","VPS45",1
"538","VRK2",1
"539","WISP2",1
"540","WNT2",1
"541","WNT5B",1
"542","YWHAQ",1
"543","ZBTB43",1
"544","ZFP36",1
"545","ZNF350",1
"546","ZNF583",1
"547","ZNF827",1
"548","ADAMTS5",0.999
"549","CBR3",0.999
"550","LINC00685",0.999
"551","NR4A1",0.999
"552","OGFRL1",0.999
"553","PLAC9",0.999
"554","PSMA4",0.999
"555","TNFRSF19",0.999
"556","USP36",0.999
"557","ASPM",0.998
"558","BCS1L",0.997
"559","GABPA",0.997
"560","MLLT11",0.997
"561","RAB8B",0.997
"562","TRNP1",0.997
"563","CCDC88A",0.996
"564","RAB3B",0.996
"565","UPP1",0.996
"566","CNBP",0.994
"567","DUSP6",0.994
"568","ZWINT",0.994
"569","ARID5B",0.992
"570","ZNF503",0.992
"571","AIFM1",0.991
"572","EDN1",0.991
"573","BRMS1L",0.99
"574","FAM64A",0.99
"575","GNL3",0.99
"576","LINC00680",0.99
"577","NDUFAF7",0.99
"578","GAL3ST4",0.989
"579","ITGBL1",0.989
"580","PINX1",0.988
"581","UBA2",0.987
"582","AKAP12",0.98
"583","CDC42EP3",0.98
"584","ULK2",0.98
"585","BEX4",0.977
"586","RILP",0.972
"587","GSPT1",0.966
"588","PTPRF",0.965
"589","BDH2",0.963
"590","UBE2B",0.963
"591","COL1A2",0.959
"592","BDNF",0.958
"593","FECH",0.958
"594","SEMA5A",0.957
"595","CLCN6",0.956
"596","RP3-428L16.2",0.953
"597","DNAJB4",0.952
"598","C1QTNF6",0.951
"599","TFPI",0.951
"600","TMEM245",0.951
"601","OSBPL1A",0.95
"602","S1PR3",0.945
"603","MTHFD2",0.944
"604","CXCL6",0.942
"605","PTGIS",0.941
"606","VTA1",0.941
"607","DCUN1D1",0.936
"608","C11orf96",0.935
"609","PPP1CC",0.935
"610","SNRPB",0.934
"611","MKX",0.932
"612","KCNG1",0.928
"613","TSPAN2",0.928
"614","AP1S2",0.927
"615","MRPL35",0.919
"616","BAMBI",0.918
"617","PLPP3",0.917
"618","KPTN",0.914
"619","DUSP4",0.912
"620","NTF3",0.911
"621","AKR1C2",0.91
"622","TUBB6",0.904
"623","ZNF830",0.904
"624","DYNLT3",0.898
"625","RBBP7",0.894
"626","HSPA14",0.888
"627","STX1A",0.881
"628","GPR68",0.877
"629","GDF15",0.876
"630","NGF",0.875
"631","ANKRD50",0.873
"632","NIPAL3",0.873
"633","RIOK2",0.868
"634","CCNB2",0.865
"635","DUSP18",0.862
"636","CKAP2",0.861
"637","KCTD5",0.861
"638","CLUAP1",0.858
"639","PSME1",0.857
"640","C6orf203",0.856
"641","AURKA",0.851
"642","FAM217B",0.851
"643","DNAJC18",0.849
"644","PQLC2L",0.843
"645","NPB",0.835
"646","INSIG1",0.834
"647","FAM21A",0.829
"648","IMPACT",0.829
"649","MAPKAPK5",0.829
"650","PXMP4",0.829
"651","SETD7",0.829
"652","ZNF749",0.829
"653","GPX3",0.826
"654","TYMS",0.824
"655","ARHGAP29",0.823
"656","PLPP4",0.822
"657","RSPO3",0.815
"658","EBNA1BP2",0.81
"659","GTSE1",0.81
"660","TRIM69",0.81
"661","CCDC6",0.805
"662","MAD2L1",0.796
"663","KIF20A",0.791
"664","TACC3",0.789
"665","NXT1",0.777
"666","SLC17A5",0.77
"667","ME3",0.768
"668","TJP2",0.763
"669","SLC25A4",0.762
"670","MBNL1-AS1",0.749
"671","SH2D4A",0.746
"672","CFAP20",0.745
"673","LINC00936",0.745
"674","PFDN6",0.745
"675","SYPL1",0.745
"676","METTL21A",0.743
"677","MRPS35",0.743
"678","TPTEP1",0.742
"679","DCAF5",0.74
"680","IRX3",0.74
"681","TRIP13",0.734
"682","TAF9B",0.729
"683","PBK",0.716
"684","SLF2",0.712
"685","KRBOX1",0.707
"686","FDPS",0.697
"687","DHRS3",0.693
"688","CHCHD6",0.691
"689","ATP1B1",0.69
"690","MIS18BP1",0.682
"691","RSL1D1",0.666
"692","CRADD",0.663
"693","NUDT4",0.663
"694","C14orf2",0.655
"695","ANKZF1",0.65
"696","KLF10",0.647
"697","NUPR1",0.642
"698","CNN3",0.638
"699","DSN1",0.638
"700","GLO1",0.638
"701","OARD1",0.638
"702","SAE1",0.638
"703","UTP4",0.625
"704","LINC01436",0.623
"705","PINLYP",0.621
"706","RRM2",0.62
"707","RMI2",0.608
"708","AK4",0.607
"709","GTPBP1",0.602
"710","TMEM54",0.598
"711","ALDH1A3",0.597
"712","EIF4EBP1",0.596
"713","HEXIM2",0.589
"714","CD2AP",0.581
