"","GENE","FREQUENCY"
"389","BCAT1",0.982
"390","GADD45A",0.982
"391","HIST1H2BG",0.982
"392","NUMBL",0.982
"393","NFIB",0.981
"394","AMOTL2",0.98
"395","CEBPB",0.98
"396","HIST1H2BC",0.98
"397","KCTD12",0.98
"398","ZBTB44",0.978
"399","IRS2",0.977
"400","PLP2",0.977
"401","PTPN14",0.977
"402","RPL22L1",0.977
"403","GK",0.976
"404","CRIP2",0.975
"405","CCND2",0.974
"406","SOD2",0.974
"407","CHAC1",0.973
"408","SNPH",0.973
"409","PLPP3",0.97
"410","COL1A1",0.964
"411","KBTBD7",0.964
"412","NRG1",0.964
"413","COL6A1",0.963
"414","FILIP1L",0.963
"415","HERPUD1",0.963
"416","GJB4",0.961
"417","IRF2BPL",0.96
"418","ZNF667-AS1",0.958
"419","NEURL2",0.957
"420","SFN",0.956
"421","RP11-54H7.4",0.955
"422","TFAP2C",0.955
"423","FAM46A",0.952
"424","CEBPD",0.951
"425","PPL",0.951
"426","PDLIM2",0.95
"427","KCNQ1OT1",0.949
"428","EFNB1",0.947
"429","KITLG",0.947
"430","LOX",0.946
"431","ZFP36L1",0.946
"432","FAM84B",0.945
"433","LGALS7B",0.945
"434","HIST1H2BN",0.944
"435","MIR155HG",0.944
"436","SYT12",0.944
"437","HIST3H2A",0.943
"438","RNASE1",0.942
"439","AKR1B10",0.939
"440","RNF19A",0.939
"441","CXCL17",0.937
"442","RHOB",0.937
"443","MTSS1",0.933
"444","RARRES1",0.933
"445","CA12",0.93
"446","ALDH1A1",0.928
"447","ID4",0.927
"448","OAF",0.927
"449","NCOA7",0.926
"450","FOLR1",0.922
"451","NAV3",0.921
"452","SEMA3C",0.921
"453","ANKRD36C",0.92
"454","FA2H",0.92
"455","ARL4D",0.917
"456","TRAF1",0.916
"457","PCDH17",0.915
"458","NDRG2",0.909
"459","SLCO4A1",0.909
"460","GDA",0.908
"461","KRT8",0.907
"462","SPARC",0.907
"463","WSB1",0.907
"464","MGLL",0.906
"465","RNASE7",0.906
"466","CDKN2D",0.904
"467","PRKCDBP",0.904
"468","CYB5R2",0.903
"469","C15orf52",0.9
"470","GLTP",0.898
"471","KLK11",0.897
"472","SLC3A2",0.897
"473","CHST2",0.895
"474","CLCA2",0.894
"475","CCDC85B",0.892
"476","SH3PXD2A",0.892
"477","DPYSL2",0.891
"478","GRHL1",0.891
"479","ALOX15B",0.89
"480","GALNT6",0.889
"481","CLDN11",0.887
"482","SQSTM1",0.887
"483","SRGAP1",0.886
"484","CTSB",0.885
"485","ABCA1",0.884
"486","FLRT3",0.883
"487","ALMS1",0.882
"488","KCNQ4",0.881
"489","HSPA5",0.879
"490","KLF6",0.879
"491","FNIP2",0.877
"492","HIST1H4H",0.877
"493","MUC1",0.877
"494","IER3",0.874
"495","NAMPT",0.874
"496","FSTL3",0.873
"497","PPP3CA",0.873
"498","PCDH7",0.872
"499","MGST3",0.87
"500","ZNF778",0.87
"501","IRS1",0.869
"502","HIST1H4C",0.866
"503","TIMP2",0.866
"504","PNMA2",0.863
"505","PPM1K",0.863
"506","OTUB2",0.862
"507","CAPN12",0.861
"508","ST5",0.86
"509","EHD1",0.859
"510","KLF5",0.858
"511","MACC1",0.857
"512","CBX6",0.856
"513","CCND1",0.856
"514","ITGB6",0.856
"515","PLPP2",0.856
"516","MTUS1",0.855
"517","AHNAK2",0.851
"518","ITGA6",0.851
"519","ITGA2",0.85
"520","FHL1",0.848
"521","BHLHE40",0.847
"522","ACTB",0.846
"523","TMEM27",0.846
"524","MIR3142HG",0.844
"525","PRRG4",0.843
"526","ZNF462",0.843
"527","TACSTD2",0.842
"528","RGS16",0.841
"529","WARS",0.84
"530","OASL",0.838
"531","SSPN",0.838
"532","CDA",0.837
"533","S1PR3",0.837
"534","EFNB2",0.836
"535","ICOSLG",0.836
"536","LINC00520",0.835
"537","MDM2",0.835
"538","SEMA3B",0.834
"539","PTRF",0.833
"540","APOD",0.832
"541","FJX1",0.832
"542","CYSRT1",0.831
"543","IFRD1",0.831
"544","ZNF121",0.831
"545","FHL2",0.83
"546","CYP2U1",0.829
"547","HIP1R",0.829
"548","RP11-402P6.11",0.829
"549","PDGFA",0.828
"550","RRM2",0.828
"551","GS1-124K5.4",0.826
"552","FAM83A",0.825
"553","RND3",0.823
"554","TTC9",0.819
"555","CTD-2017D11.1",0.817
"556","FAM3C",0.817
