"","GENE","FREQUENCY"
"462","ANKRD12",0.919
"463","RABGAP1",0.919
"464","WDR43",0.919
"465","C2orf68",0.917
"466","HRASLS2",0.917
"467","SUCO",0.917
"468","SELENOM",0.911
"469","DUT",0.91
"470","PET100",0.91
"471","SETD5",0.91
"472","AC016831.1",0.909
"473","ACTR1B",0.909
"474","DHX29",0.909
"475","NR3C1",0.908
"476","FAM207A",0.907
"477","HOMER1",0.907
"478","RPL31P2",0.907
"479","SLC3A2",0.904
"480","C6orf62",0.903
"481","NF1",0.894
"482","ANKH",0.893
"483","CLEC2B",0.891
"484","CCNL2",0.889
"485","CCNT2",0.886
"486","PPP4R2",0.886
"487","ANKRD36C",0.885
"488","CSRNP1",0.877
"489","NEU1",0.877
"490","NDRG1",0.876
"491","MLLT10",0.875
"492","RREB1",0.875
"493","NOP58",0.873
"494","AL162430.1",0.868
"495","SMPD2",0.868
"496","TEX264",0.868
"497","SAV1",0.865
"498","KRT13",0.862
"499","HERPUD2",0.859
"500","SMCHD1",0.856
"501","TFDP2",0.855
"502","TMTC3",0.853
"503","TUBB",0.853
"504","TXLNG",0.853
"505","INO80",0.852
"506","PPP1R15A",0.852
"507","ETFDH",0.851
"508","PIP5K1A",0.845
"509","SOD3",0.84
"510","STN1",0.83
"511","PAK1IP1",0.828
"512","ETV6",0.826
"513","CEBPZOS",0.824
"514","SIRT7",0.824
"515","AC090897.1",0.822
"516","BHLHE41",0.822
"517","BOD1",0.822
"518","CD2BP2",0.822
"519","CDC42EP1",0.822
"520","CLPP",0.822
"521","CWC22",0.822
"522","DDX3Y",0.822
"523","ELOA",0.822
"524","FRK",0.822
"525","ITGAV",0.822
"526","PPP1R8",0.822
"527","PSMD13",0.822
"528","RPL13AP7",0.822
"529","RPUSD4",0.822
"530","RRP8",0.822
"531","S100A4",0.822
"532","SCAMP2",0.822
"533","SLFN5",0.822
"534","SMARCA1",0.822
"535","SNX27",0.822
"536","SUPT16H",0.822
"537","TRIP10",0.822
"538","C3orf52",0.821
"539","CBX1",0.821
"540","FNIP2",0.821
"541","HSP90AA2P",0.821
"542","KIAA0232",0.821
"543","SPINT1-AS1",0.821
"544","TRIM47",0.821
"545","VPS53",0.821
"546","ILK",0.82
"547","PAICS",0.82
"548","AVPI1",0.819
"549","CAPN1",0.819
"550","CDK16",0.819
"551","CDK7",0.819
"552","CRIP2",0.819
"553","DYNC1LI1",0.819
"554","GTF3A",0.819
"555","KAT6A",0.819
"556","MAGT1",0.819
"557","MAPK8",0.819
"558","MTPN",0.819
"559","MZT1",0.819
"560","NFKBIB",0.819
"561","NTPCR",0.819
"562","PRPS2",0.819
"563","RPL41",0.819
"564","RPP25L",0.819
"565","RTF1",0.819
"566","STX12",0.819
"567","TDRP",0.819
"568","CSTA",0.818
"569","MPRIP",0.818
"570","WDYHV1",0.818
"571","EWSR1",0.817
"572","RPS24P8",0.814
"573","CTNNAL1",0.812
"574","GOLPH3",0.811
"575","SCUBE2",0.811
"576","TULP4",0.811
"577","GLIPR1",0.81
"578","ARTN",0.809
"579","ATF4",0.808
"580","C11orf68",0.806
"581","MRNIP",0.806
"582","NUP214",0.806
"583","RNF115",0.806
"584","TLK1",0.806
"585","PLEKHA3",0.805
"586","RNF169",0.805
"587","AK2",0.804
"588","NR6A1",0.803
"589","TMEM57",0.803
"590","STT3A",0.801
"591","LAMA3",0.798
"592","AP2M1",0.797
"593","ASB1",0.797
"594","BLCAP",0.797
"595","C1orf35",0.797
"596","DDRGK1",0.797
"597","ERI3",0.797
"598","MAP3K7",0.797
"599","MCRIP1",0.797
"600","OSBPL9",0.797
"601","RPL18AP15",0.797
"602","SBF2",0.797
"603","SEL1L",0.797
"604","SLC35A2",0.797
"605","SRPRB",0.797
"606","TOMM34",0.797
"607","NDUFA11",0.796
"608","AL031727.1",0.794
"609","FGFR1",0.794
"610","TNFRSF1A",0.794
"611","BARD1",0.793
"612","CERS5",0.793
"613","SLC48A1",0.793
"614","EVA1C",0.792
"615","ARHGAP26",0.791
"616","SYNJ2BP",0.789
"617","KLHL5",0.788
"618","CHMP1B",0.787
"619","FBXW4",0.787
"620","COL17A1",0.786
"621","RHBDL2",0.786
"622","WIF1",0.785
"623","YWHAZP3",0.784
"624","CHMP1A",0.781
"625","DCAF13",0.781
"626","BRD9",0.78
"627","TAF8",0.778
"628","SLC5A3",0.777
"629","BMP2",0.776
"630","LMO4",0.776
"631","PPP3CA",0.776
"632","ACTN1",0.775
"633","FAM89A",0.775
"634","REPIN1",0.773
"635","GYG1",0.772
"636","TPD52L2",0.77
"637","RPP38",0.769
"638","BAG4",0.766
"639","ISCA1",0.764
"640","SNRPFP1",0.763
"641","RUFY2",0.76
"642","TSR1",0.756
"643","GABPB1",0.754
"644","ARL4C",0.752
"645","PDGFA",0.752
"646","TSN",0.752
"647","BRIX1",0.75
"648","BZW2",0.75
"649","C8orf33",0.75
"650","CLPX",0.75
"651","CRIM1",0.75
"652","DDX54",0.75
"653","ETV3",0.75
"654","EXOSC8",0.75
"655","FIS1",0.75
"656","FUBP1",0.75
"657","IBTK",0.75
"658","MAP7D1",0.75
"659","MLLT6",0.75
"660","MRPS25",0.75
"661","NECTIN1",0.75
"662","NELFE",0.75
"663","NFIC",0.75
"664","NGDN",0.75
