"","GENE","FREQUENCY"
"649","TMC5",0.414
"650","VMA21",0.414
"651","FAM129A",0.413
"652","BCCIP",0.412
"653","SDCBP2",0.412
"654","ANKIB1",0.41
"655","NR6A1",0.41
"656","AGO3",0.409
"657","THUMPD3",0.409
"658","ZFYVE21",0.409
"659","LAMC1",0.408
"660","PAPD4",0.408
"661","PHF14",0.408
"662","SRD5A3",0.408
"663","ARHGAP27",0.407
"664","NUTM2A-AS1",0.406
"665","PHGDH",0.406
"666","STK3",0.406
"667","TPP2",0.406
"668","ZNF672",0.406
"669","GLYR1",0.405
"670","LINC00116",0.404
"671","RAB5B",0.404
"672","MCUR1",0.403
"673","NFAT5",0.403
"674","FSTL3",0.402
"675","INIP",0.402
"676","NADK2",0.402
"677","PDZK1IP1",0.402
"678","SIGIRR",0.402
"679","WARS2",0.402
"680","FGD5-AS1",0.401
"681","MKNK2",0.401
"682","TUBA4A",0.401
"683","KIAA0040",0.4
"684","C8orf4",0.399
"685","ITGB4",0.399
"686","PDS5B",0.399
"687","EAPP",0.398
"688","IRS2",0.398
"689","MSN",0.397
"690","SARS",0.397
"691","STK17A",0.397
"692","TRIB1",0.397
"693","YBX1P2",0.397
"694","HADHA",0.396
"695","SDF2L1",0.396
"696","SLC48A1",0.396
"697","ACLY",0.395
"698","RPL13AP20",0.395
"699","RPS27L",0.394
"700","KRT13",0.393
"701","NEAT1",0.393
"702","CMSS1",0.392
"703","KDSR",0.392
"704","PBRM1",0.392
"705","TMED4",0.392
"706","SETX",0.39
"707","FOXQ1",0.389
"708","SAT1",0.389
"709","SVIP",0.388
"710","ASAP1",0.387
"711","AKAP13",0.386
"712","PARD6B",0.386
"713","PTK2",0.386
"714","VPS26A",0.386
"715","TTC17",0.385
"716","KDM7A",0.384
"717","PDCD10",0.384
"718","ZBTB20",0.384
"719","ARHGAP42",0.383
"720","MED15",0.382
"721","AC127070.1",0.381
"722","FUS",0.381
"723","SFT2D2",0.381
"724","KCNQ1OT1",0.38
"725","MRPS33",0.38
"726","C1orf21",0.379
"727","GMPPB",0.379
"728","B3GALNT2",0.378
"729","HIVEP2",0.378
"730","RPL15P14",0.378
"731","SMARCC1",0.378
"732","EGLN3",0.377
"733","ATF1",0.376
"734","STAG2",0.376
"735","ZNF267",0.376
"736","LTN1",0.375
"737","MEIS1",0.375
"738","SLC2A1",0.375
"739","SMIM31",0.373
"740","RPL7L1",0.371
"741","CIAO1",0.37
"742","EDN2",0.37
"743","LPAR6",0.37
"744","OAT",0.369
"745","TNFRSF12A",0.369
"746","ECHDC3",0.368
"747","NDUFS2",0.367
"748","NELFE",0.367
"749","SF3B3",0.367
"750","SRM",0.367
"751","HMG20B",0.366
"752","RBM23",0.366
"753","TMEM51",0.366
"754","ETV6",0.365
"755","PHLDB2",0.365
"756","TAF9",0.365
"757","CREB5",0.364
"758","ERG28",0.364
"759","NRBP1",0.364
"760","ZNF750",0.364
"761","DYNLL1",0.363
"762","E2F4",0.363
"763","LURAP1L",0.363
"764","VAMP5",0.363
"765","IMPAD1",0.362
"766","TMEM106B",0.362
"767","C19orf24",0.361
"768","NELFA",0.361
"769","SEC61A1",0.361
"770","TBL1XR1",0.361
"771","TIPRL",0.361
"772","TMUB1",0.361
"773","NCOA4",0.36
"774","NOP58",0.36
"775","GLTP",0.359
"776","POLE4",0.359
"777","TOB2",0.359
"778","RTCB",0.358
"779","C7orf73",0.357
"780","SNRPD3",0.357
"781","CDK9",0.356
"782","SHISA2",0.356
"783","STRN3",0.356
"784","PHACTR2",0.355
"785","RNF103",0.355
"786","PSMA3-AS1",0.354
"787","WDR26",0.354
"788","FAM160B1",0.353
"789","JPH1",0.353
"790","FBXO3",0.352
"791","SND1-IT1",0.352
"792","AC005921.3",0.351
"793","CCND1",0.351
"794","HOMER2",0.351
"795","MYADM",0.351
"796","RBM33",0.351
"797","AL022323.4",0.35
"798","SIX4",0.35
"799","KIAA0930",0.349
"800","SDHB",0.349
"801","SLC6A14",0.349
"802","ADSS",0.348
"803","GPRC5C",0.348
"804","TMEM219",0.348
"805","CLUHP3",0.347
"806","GPR87",0.347
"807","SCAF4",0.347
"808","WDR3",0.347
"809","PRAC1",0.346
"810","RARS",0.346
"811","RPS4XP22",0.346
"812","SCOC",0.346
"813","TRMT112",0.346
"814","TXNDC11",0.346
"815","FPGS",0.345
"816","MGEA5",0.345
"817","TCOF1",0.344
"818","ESF1",0.343
"819","GALE",0.343
"820","MAFG",0.343
