"","GENE","FREQUENCY"
"732","FAM207A",0.513
"733","CCNY",0.512
"734","COLGALT1",0.512
"735","COMMD5",0.512
"736","GTPBP3",0.512
"737","OXCT1",0.512
"738","PYM1",0.512
"739","SETX",0.512
"740","SVIL-AS1",0.512
"741","ELK4",0.51
"742","MORC4",0.51
"743","PHF20",0.51
"744","RMND5A",0.51
"745","THUMPD1",0.51
"746","ADNP",0.509
"747","CCNC",0.509
"748","CTNNA1",0.509
"749","IFT22",0.509
"750","NDUFA6",0.509
"751","AAMP",0.507
"752","LONP2",0.507
"753","RAB24",0.507
"754","CCDC12",0.506
"755","FAM204A",0.505
"756","HMGN3",0.505
"757","IER2",0.505
"758","PPME1",0.505
"759","SRP54",0.505
"760","CLDN4",0.504
"761","CPM",0.504
"762","WBP2",0.504
"763","AGO3",0.503
"764","CAVIN3",0.503
"765","MAPKAPK5",0.503
"766","TJP1",0.503
"767","HBS1L",0.501
"768","PSMB2",0.501
"769","RPL23AP65",0.501
"770","EHMT1",0.5
"771","CAND1",0.499
"772","H3F3AP4",0.499
"773","ISOC2",0.499
"774","MTFMT",0.499
"775","SLC30A5",0.499
"776","WDR83OS",0.499
"777","ANKRD54",0.498
"778","ATP9A",0.498
"779","FAM174A",0.498
"780","MAPKAPK5-AS1",0.498
"781","PTK2",0.498
"782","RPS24P8",0.498
"783","CAV2",0.497
"784","SSR4",0.497
"785","ERICH1",0.496
"786","ETF1",0.496
"787","LTA4H",0.496
"788","PPIC",0.496
"789","STMN1",0.496
"790","TRAPPC6A",0.496
"791","ASAH1",0.495
"792","C1orf52",0.495
"793","RPL21P75",0.495
"794","RPL35P5",0.495
"795","ZNF292",0.495
"796","FUNDC2",0.494
"797","MT2P1",0.494
"798","TPD52",0.494
"799","AKR7A2",0.493
"800","ASF1A",0.493
"801","AVPI1",0.493
"802","COA5",0.493
"803","COPRS",0.493
"804","APCDD1",0.492
"805","ATP6V0D1",0.492
"806","BTG3",0.492
"807","C20orf27",0.492
"808","CCDC14",0.492
"809","EIF2A",0.492
"810","ELOF1",0.492
"811","HNRNPH3",0.492
"812","OR7E38P",0.492
"813","PTGR1",0.492
"814","RYBP",0.492
"815","TMEM87A",0.492
"816","TTYH1",0.492
"817","LINC01578",0.491
"818","PSMD14",0.491
"819","RFC4",0.491
"820","INTS10",0.49
"821","LATS2",0.49
"822","AC099336.2",0.489
"823","CASC8",0.489
"824","MPC1",0.489
"825","SEC11C",0.489
"826","SSB",0.489
"827","AC096919.1",0.488
"828","BCKDK",0.487
"829","INTS11",0.487
"830","RPS3AP5",0.487
"831","MRPL27",0.486
"832","SHARPIN",0.486
"833","STX16",0.486
"834","ABT1",0.485
"835","PCDHGA10",0.485
"836","RASA2",0.485
"837","RBM28",0.485
"838","AP006259.1",0.484
"839","APOO",0.484
"840","CYTOR",0.484
"841","GID8",0.484
"842","KRT19",0.484
"843","NBEAL1",0.484
"844","SELENOF",0.484
"845","SLX4IP",0.484
"846","TLE3",0.484
"847","TUBG1",0.484
"848","ZMPSTE24",0.484
"849","AQP5",0.483
"850","C6orf226",0.483
"851","ESF1",0.483
"852","FBXO27",0.483
"853","HK2",0.483
"854","ING2",0.483
"855","LARP1",0.483
"856","MTMR12",0.483
"857","NUP93",0.483
"858","OXSR1",0.483
"859","PLA2G12A",0.483
"860","RPE",0.483
"861","SLC30A9",0.483
"862","SURF1",0.483
"863","AL034417.2",0.482
"864","EDN1",0.482
"865","GNAQ",0.482
"866","NINJ1",0.482
"867","POLD2",0.482
"868","VHL",0.482
"869","CASP2",0.481
"870","CCDC6",0.481
"871","CLOCK",0.481
"872","MYL12A",0.481
"873","MZT1",0.481
"874","PPP3R1",0.481
"875","AMZ2",0.48
"876","ANKRD12",0.48
"877","ATP11B",0.48
"878","CCNL1",0.48
"879","GLB1",0.48
"880","MSL3",0.48
"881","MSMO1",0.48
"882","PTP4A2",0.48
"883","SNAP47",0.48
"884","TMEM33",0.48
"885","CHCHD4",0.479
"886","JAK1",0.479
"887","PHC3",0.479
"888","PTEN",0.479
"889","RNF113A",0.479
"890","SURF6",0.479
"891","TOP1",0.479
"892","AP003108.4",0.478
"893","APEX2",0.478
"894","C7orf50",0.478
"895","COX6C",0.478
"896","KRT18",0.478
"897","MCRS1",0.478
"898","NIF3L1",0.478
"899","QPRT",0.478
"900","YIPF3",0.478
"901","BTG1",0.477
"902","FNDC3A",0.477
"903","KLHL7",0.477
"904","NKTR",0.477
"905","PBDC1",0.477
"906","RNF126",0.477
"907","S100A13",0.477
"908","SLC35E1",0.477
"909","SLC4A7",0.477
"910","SNHG16",0.477
"911","SNRPB2",0.477
"912","TCEA1P2",0.477
"913","ARIH1",0.476
"914","CHCHD3",0.476
"915","ECHDC3",0.476
"916","ESRP1",0.476
"917","P4HB",0.476
"918","PDLIM2",0.476
"919","AIF1L",0.475
"920","BAZ1B",0.475
"921","C12orf10",0.475
"922","DCAF6",0.475
"923","SMC3",0.475
"924","SPATS2L",0.475
"925","BAG4",0.474
"926","CLCN3",0.474
"927","MRPS23",0.474
"928","PFDN5",0.474
"929","TAF1D",0.474
"930","TMEM248",0.474
"931","FAM92A",0.473
"932","SNX6",0.473
"933","TUBA1A",0.473
"934","DGCR6L",0.472
"935","MRPS36",0.472
"936","MZT2A",0.472
"937","SRRM2",0.472
"938","SSRP1",0.472
"939","TM4SF1",0.472
"940","WDR12",0.472
"941","AC093768.1",0.471
"942","GBE1",0.471
"943","SAMM50",0.471
"944","CHMP2A",0.47
"945","GON4L",0.47
"946","IARS",0.47
"947","NCKAP1",0.47
"948","PWP1",0.47
"949","RPL35P1",0.47
"950","SLC2A1",0.47
"951","ZNRD1",0.47
"952","MLLT3",0.469
"953","EML3",0.468
"954","IFNGR2",0.468
"955","PTPN14",0.468
"956","GNB2",0.467
"957","REST",0.467
"958","C11orf24",0.466
"959","CPNE1",0.466
"960","DCAF10",0.466
"961","KLHL42",0.466
"962","MAGT1",0.466
"963","NR2F6",0.466
"964","NT5C3B",0.466
"965","OGFRL1",0.466
"966","PET117",0.466
"967","PLAA",0.466
"968","SLC25A1",0.466
"969","SLC7A1",0.466
"970","TMEM18",0.466
"971","RPS3AP25",0.465
"972","AC027309.2",0.464
"973","HIBADH",0.464
"974","LY6E",0.464
"975","NUFIP2",0.464
"976","SNRPE",0.464
"977","DAP",0.463
"978","NF1",0.463
"979","PQLC2L",0.463
"980","CHD4",0.462
"981","GTF3A",0.462
"982","N4BP2L2",0.462
"983","RBPMS",0.462
"984","AL139095.2",0.461
"985","ASNSD1",0.461
"986","BRD4",0.461
"987","COA6",0.461
"988","DNAJC7",0.461
"989","EMP1",0.461
"990","EPC1",0.461
"991","HMBS",0.461
"992","KLHDC10",0.461
"993","KRT8",0.461
"994","PDZD11",0.461
"995","RAD1",0.461
"996","ROCK1",0.461
"997","SAFB",0.461
"998","SCYL1",0.461
"999","TAF15",0.461
"1000","TBRG1",0.461
"1001","TLE1",0.461
"1002","TXN2",0.461
"1003","TXNIP",0.461
"1004","ZNF33A",0.461
"1005","CAAP1",0.46
"1006","CNBP",0.46
"1007","DCAF13",0.46
"1008","MIIP",0.46
"1009","MYDGF",0.46
"1010","SNRPEP4",0.46
"1011","TACO1",0.46
"1012","FHL2",0.459
"1013","IER3IP1",0.459
"1014","NQO1",0.459
"1015","ORC6",0.459
"1016","AASDH",0.458
"1017","BBX",0.458
"1018","COA3",0.458
"1019","PCAT6",0.458
"1020","PSMB7",0.458
"1021","TMEM60",0.458
"1022","ARL16",0.457
"1023","C1orf122",0.457
"1024","PUF60",0.457
"1025","YES1",0.457
"1026","CTGF",0.456
"1027","DESI2",0.456
"1028","TRIM2",0.456
"1029","EIF4H",0.455
"1030","FXYD3",0.455
"1031","PPIF",0.455
"1032","SLC20A1",0.455
"1033","TEX30",0.455
"1034","AL451165.2",0.454
"1035","ARL14EP",0.454
"1036","ARL4A",0.454
"1037","BIRC3",0.454
"1038","IMPDH2",0.454
"1039","NUDT15",0.454
"1040","PITRM1",0.454
"1041","PRMT1",0.454
"1042","ADSS",0.453
"1043","LAPTM4B",0.453
"1044","MAGED1",0.453
"1045","DDX5",0.452
"1046","GGPS1",0.452
"1047","SLC10A3",0.452
"1048","TMEM45A",0.452
"1049","ZNF426",0.452
"1050","BCL2L1",0.451
"1051","BEX2",0.451
"1052","BRD3",0.451
"1053","CNOT6",0.451
"1054","LINC00665",0.451
"1055","MARCKS",0.451
"1056","PAK4",0.451
"1057","SIPA1",0.451
"1058","PITHD1",0.45
"1059","PRKAR1B",0.45
"1060","RBM47",0.45
"1061","SH3YL1",0.45
"1062","IGFBP4",0.449
"1063","PDHA1",0.449
"1064","SCRN1",0.449
"1065","VDAC1",0.449
"1066","FAM126B",0.448
"1067","MTHFD2L",0.448
"1068","RAB14",0.448
"1069","DUSP12",0.447
"1070","ELAVL1",0.447
"1071","KEAP1",0.447
"1072","LACTB2",0.447
"1073","PSMC6",0.447
"1074","S100A11",0.447
"1075","INAFM1",0.446
"1076","KRT23",0.446
"1077","MEA1",0.446
"1078","TLCD2",0.446
"1079","AC067942.1",0.445
"1080","COMMD7",0.445
