"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","29/1578","170/17913",0.000412422131116638,0.00498892149363362,0.0037785601265286,"101/6348/5641/6352/1236/26228/301/4345/1230/3146/3958/11314/5142/975/1435/23604/5919/199/51192/1906/255231/140885/23075/8600/2185/972/3689/120425/5293",29
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","50/1578","349/17913",0.000416161366081572,0.00502359988657797,0.0038048252006531,"64092/8651/6352/83666/26228/857/2268/3479/22876/3643/640/100133941/958/960/941/3055/3383/3932/5788/7124/11314/2534/653361/10507/9021/8784/916/975/3280/3716/4915/351/4921/3572/7006/9094/25778/1946/79705/4739/2185/27/972/57396/1859/79893/3689/2475/253260/122809",50
"GO:0010506","BP","GO:0010506","regulation of autophagy","46/1578","314/17913",0.000424498793617416,0.00511352312478887,0.00387293217783958,"664/1649/3162/3315/90427/27074/11040/7494/57761/472/2017/2081/9638/3146/3586/1263/706/7345/10018/665/83667/340061/8851/23604/3587/5660/94241/80149/256471/92140/5305/26191/5768/6794/7248/2309/29108/9100/27/207/23545/90423/128338/3428/9927/2475",46
"GO:0000790","CC","GO:0000790","nuclear chromatin","45/1613","309/18678",0.000364123417289969,0.0051654717336484,0.00428747524397736,"10370/3006/3659/3662/3725/4609/3148/1051/3015/92815/10365/2146/4772/6925/6932/8365/2956/29844/8295/90993/1499/2625/9839/25946/60/2648/83881/4773/5914/864/6595/6908/10951/10036/10320/3622/8932/26012/57649/119392/4089/6667/6772/6872/6938",45
"GO:0036503","BP","GO:0036503","ERAD pathway","17/1578","79/17913",0.000434823928474206,0.00522696488549995,0.00395885185291426,"91319/9709/3309/23753/4189/857/7184/81502/7844/92305/91147/51465/29761/6400/79089/7706/337867",17
"GO:0042770","BP","GO:0042770","signal transduction in response to DNA damage","24/1578","131/17913",0.000436173076075425,0.00523225952508812,0.00396286196092212,"7832/1026/5366/28984/10538/6659/4646/472/960/1027/1647/1263/637/3090/83667/4193/4683/25946/835/891/2309/9100/972/1859",24
"GO:0019882","BP","GO:0019882","antigen processing and presentation","35/1578","220/17913",0.000438673265863022,0.00524041631709394,0.00396903983505241,"3109/3117/3119/5641/1236/3123/968/3112/3115/4688/3111/811/140735/3108/3383/10437/3105/653361/5971/3122/3113/3902/4689/23180/1536/2213/55016/2923/29108/83871/7189/972/3133/3134/5873",35
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","35/1578","220/17913",0.000438673265863022,0.00524041631709394,0.00396903983505241,"101/664/10370/3162/4609/5366/28984/677/2023/4000/5230/6095/8837/1978/3383/1263/360/665/468/1906/3779/4193/7248/114769/891/1536/1958/2309/55662/207/10525/378938/2475/5163/9463",35
"GO:0050704","BP","GO:0050704","regulation of interleukin-1 secretion","13/1578","52/17913",0.00044311554785441,0.00528252448146106,0.00400093214506008,"6348/9447/1236/834/1992/7128/3146/3495/199713/80149/7850/114769/29108",13
"GO:0007219","BP","GO:0007219","Notch signaling pathway","30/1578","179/17913",0.000450862781032928,0.00535271730554144,0.00405409550042197,"4609/4792/151636/2208/11156/1027/3559/79094/3280/23462/6662/83464/351/429/2116/3572/5664/6091/9139/1021/55662/142678/6400/207/113878/23385/64783/6772/55333/11060",30
"GO:1901796","BP","GO:1901796","regulation of signal transduction by p53 class mediator","30/1578","179/17913",0.000450862781032928,0.00535271730554144,0.00405409550042197,"5366/472/641/960/1263/3090/84289/54971/8851/94241/580/79813/10614/4193/4683/6794/11073/25946/6875/6908/207/972/1859/204851/3622/5883/84154/50484/54700/6872",30
"GO:0048661","BP","GO:0048661","positive regulation of smooth muscle cell proliferation","20/1578","101/17913",0.000453499170767576,0.00537293873514342,0.00406941101254076,"3162/3398/3725/6352/3479/2081/3586/7124/5724/199/652/1906/4193/7189/207/4217/9927/2475/1901/6772",20
"GO:0032874","BP","GO:0032874","positive regulation of stress-activated MAPK cascade","27/1578","155/17913",0.000457866495623533,0.00538966102570949,0.00408207631113041,"4616/9618/1236/6504/10550/939/2081/1647/3146/7124/653361/80149/351/1906/4215/197259/57551/8600/9839/2213/9258/2185/29108/7189/4217/23162/285613",27
"GO:0045577","BP","GO:0045577","regulation of B cell differentiation","9/1578","28/17913",0.00045959075436321,0.00538966102570949,0.00408207631113041,"3398/677/678/7494/939/55795/3149/1540/3635",9
"GO:0045737","BP","GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity","9/1578","28/17913",0.00045959075436321,0.00538966102570949,0.00408207631113041,"28984/894/1027/8851/896/891/219771/207/1164",9
"GO:0050855","BP","GO:0050855","regulation of B cell receptor signaling pathway","9/1578","28/17913",0.00045959075436321,0.00538966102570949,0.00408207631113041,"257144/933/26228/640/11314/975/861/26191/2213",9
"GO:2000108","BP","GO:2000108","positive regulation of leukocyte apoptotic process","9/1578","28/17913",0.00045959075436321,0.00538966102570949,0.00408207631113041,"101/56891/6352/84807/3586/29126/1029/96459/5293",9
"GO:0071352","BP","GO:0071352","cellular response to interleukin-2","6/1578","13/17913",0.000461123889481539,0.0053966490968185,0.00408736900753534,"3559/3560/3716/6776/2185/3561",6
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","43/1578","289/17913",0.000462709879191868,0.00540422613465877,0.00409310778155633,"6348/1880/3725/4609/388325/677/678/1236/11221/6504/3479/1230/960/8837/1846/2633/3146/3383/5788/7124/467/10385/84868/6662/351/652/26191/140885/8600/25778/9258/2185/29108/6237/8482/972/634/1399/7430/152007/2852/4089/55333",43
"GO:0046330","BP","GO:0046330","positive regulation of JNK cascade","23/1578","124/17913",0.000474211393213608,0.00552734656300396,0.00418635798441078,"4616/9618/1236/6504/939/2081/1647/3146/7124/653361/351/1906/197259/57551/8600/9839/2213/9258/2185/29108/7189/4217/23162",23
"GO:2001243","BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","19/1578","94/17913",0.000476505840860237,0.00554286996297625,0.00419811525504298,"9709/3315/2023/7494/1032/598/960/637/90993/4193/5329/25946/207/972/3301/10525/3622/50484/54700",19
"GO:0042267","BP","GO:0042267","natural killer cell mediated cytotoxicity","14/1578","59/17913",0.000482013139205471,0.00559562833779255,0.00423807392981381,"5272/10383/10666/84868/114836/57823/3902/203068/634/3133/3134/10859/1130/5873",14
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","31/1578","188/17913",0.000487746506340009,0.00565079352818063,0.00427985550305339,"6348/6351/5026/933/83988/5341/100/3479/5530/1235/2633/5032/5788/7124/1193/4772/5164/481/916/27040/805/1906/5533/8600/2185/9451/2274/2475/5532/121665/79041",31
"GO:0050715","BP","GO:0050715","positive regulation of cytokine secretion","24/1578","132/17913",0.000489436017502562,0.00565898110196737,0.00428605669100215,"6348/28984/9447/7494/834/2268/3566/965/3146/3586/7124/84868/3495/29126/199/2625/55540/57506/26191/192683/7096/23586/29108/83786",24
"GO:2000403","BP","GO:2000403","positive regulation of lymphocyte migration","10/1578","34/17913",0.000499606702551784,0.00576500078816267,0.00436635495975538,"101/6348/6351/6352/3676/8740/199/351/2185/29108",10
"GO:0070304","BP","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","27/1578","156/17913",0.00050817399810248,0.00585213176214815,0.00443234710344963,"4616/9618/1236/6504/10550/939/2081/1647/3146/7124/653361/80149/351/1906/4215/197259/57551/8600/9839/2213/9258/2185/29108/7189/4217/23162/285613",27
"GO:0014066","BP","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","22/1578","117/17913",0.000513211364437024,0.00589834538209259,0.00446734884517826,"6352/2268/3479/10870/8870/118788/7124/10385/2534/653361/113791/10507/4915/5863/6662/5305/8395/634/2852/56005/5293/10617",22
"GO:0031579","BP","GO:0031579","membrane raft organization","8/1578","23/17913",0.000522932606036944,0.00599809949314886,0.0045429016288762,"857/4118/5788/6281/302/2934/23180/2319",8
"GO:0032655","BP","GO:0032655","regulation of interleukin-12 production","13/1578","53/17913",0.000540404855281988,0.00616709673951067,0.00467089848298801,"3659/3394/4050/1236/6504/54/958/3146/3586/201633/7292/7189/10859",13
"GO:0046641","BP","GO:0046641","positive regulation of alpha-beta T cell proliferation","7/1578","18/17913",0.000540879446587858,0.00616709673951067,0.00467089848298801,"10148/5788/1604/916/975/7292/3133",7
"GO:0070230","BP","GO:0070230","positive regulation of lymphocyte apoptotic process","7/1578","18/17913",0.000540879446587858,0.00616709673951067,0.00467089848298801,"101/56891/6352/84807/3586/29126/96459",7
"GO:0010634","BP","GO:0010634","positive regulation of epithelial cell migration","29/1578","173/17913",0.000554479441189598,0.00630966921416938,0.00477888147461723,"3162/3315/3725/5641/301/6678/811/1235/958/3146/5286/6662/6776/80149/652/1906/2625/2896/4215/2185/388/207/9564/23122/2113/152007/2475/116150/6667",29
"GO:0070167","BP","GO:0070167","regulation of biomineral tissue development","18/1578","88/17913",0.000572124284521891,0.00648482604385246,0.00491154353662287,"6348/9636/1051/1230/5552/23462/6662/468/54880/652/4921/2824/116039/2185/56172/490/1901/55787",18
"GO:0097306","BP","GO:0097306","cellular response to alcohol","18/1578","88/17913",0.000572124284521891,0.00648482604385246,0.00491154353662287,"10365/641/999/3157/7292/94241/196/1499/3709/3779/1536/1946/2309/65985/207/490/1495/23514",18
"GO:0002690","BP","GO:0002690","positive regulation of leukocyte chemotaxis","17/1578","81/17913",0.000590544990134998,0.00666736873175945,0.00504979957508627,"6348/6351/5641/6352/1236/811/1230/3146/8740/1435/23604/5919/199/1906/23075/2185/972",17
"GO:0051702","BP","GO:0051702","interaction with symbiont","17/1578","81/17913",0.000590544990134998,0.00666736873175945,0.00504979957508627,"6348/6351/3725/6352/820/9367/302/5479/5340/80149/805/9150/2332/3312/222236/5978/6667",17
"GO:1900744","BP","GO:1900744","regulation of p38MAPK cascade","12/1578","47/17913",0.000593184232334339,0.00668269446307815,0.0050614071334222,"4616/11221/1647/653361/80149/4215/26191/9258/1540/7430/4217/285613",12
"GO:0002793","BP","GO:0002793","positive regulation of peptide secretion","41/1578","275/17913",0.000594223613250437,0.00668269446307815,0.0050614071334222,"101/6348/28984/9447/55691/6659/7494/834/2268/3479/3566/640/965/2752/3146/3586/7124/952/84868/3495/29126/3783/7293/7292/18/199/2625/55540/57506/26191/192683/7096/8600/23586/29108/65985/7430/83786/2852/3133/5532",41
"GO:0002888","BP","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","9/1578","29/17913",0.000614768472513957,0.00688684214929059,0.00521602658534779,"2268/3566/5724/9188/2207/57506/23586/3133/3689",9
"GO:0072538","BP","GO:0072538","T-helper 17 type immune response","9/1578","29/17913",0.000614768472513957,0.00688684214929059,0.00521602658534779,"3662/10538/84807/30009/6095/4063/114836/80149/64332",9
"GO:0070555","BP","GO:0070555","response to interleukin-1","30/1578","183/17913",0.000658291109688247,0.00736007807686393,0.00557445082767176,"6348/4792/6352/1051/2634/10365/6095/958/2633/3383/1326/952/4524/199713/6662/80149/351/1906/7850/4215/140885/1958/29108/8878/7189/9100/2113/57162/9252/171392",30
"GO:0000307","CC","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","9/1613","29/18678",0.000531453972890516,0.00736788462416397,0.00611553495120427,"1026/1032/894/896/891/219771/5218/1021/8621",9
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","44/1613","306/18678",0.000553350018790348,0.00750096692138027,0.00622599670264695,"10148/3309/3956/23753/8542/1075/4189/7076/7184/7873/5199/1471/55214/811/51726/51237/9601/11320/5479/1435/10272/5033/8635/351/652/5611/1906/2882/3487/5329/5768/5954/10418/23555/1522/2923/5959/80124/1310/9563/10525/56005/10130/79188",44
"GO:0045335","CC","GO:0045335","phagocytic vesicle","23/1613","128/18678",0.000572969784484524,0.00759807757685999,0.00630660106034453,"101/7431/11031/4688/811/51466/84329/9367/3105/653361/80223/23682/2934/4689/7096/81622/1536/2923/83871/71/23545/3133/3134",23
"GO:0030139","CC","GO:0030139","endocytic vesicle","42/1613","289/18678",0.000586388507831523,0.00761057425057934,0.00631697362300028,"101/3117/3119/7431/3123/11031/857/3115/7184/4688/6678/22876/4646/5872/811/51466/84329/9367/3105/3482/653361/3122/80223/23682/2934/3113/4193/4689/7096/81622/818/1536/2923/83871/71/23545/972/2319/3133/3134/10525/9463",42
"GO:2001056","BP","GO:2001056","positive regulation of cysteine-type endopeptidase activity","24/1578","135/17913",0.000684809854654234,0.00762786806582741,0.00577727233445878,"5641/4609/5366/8743/9447/834/355/10550/3146/3932/7124/10018/2534/9994/2934/6091/29108/9451/2852/9026/3336/3428/4217/5978",24
"GO:0032651","BP","GO:0032651","regulation of interleukin-1 beta production","17/1578","82/17913",0.000684891939915382,0.00762786806582741,0.00577727233445878,"6348/3315/9447/1236/834/1992/7128/54/3479/199713/80149/351/140885/114769/1958/29108/3428",17
"GO:0051087","MF","GO:0051087","chaperone binding","20/1569","91/16969",0.000199648738877364,0.0076994970167053,0.00688034326657461,"274/332/3309/23753/1075/4189/811/6904/57600/3280/5340/2896/7248/476/3301/10049/96459/3312/3336/10525",20
"GO:0050731","BP","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","30/1578","184/17913",0.000721707231363125,0.00801679719212515,0.0060718434337534,"6352/83666/26228/3479/100133941/958/960/941/3383/5788/7124/2534/653361/10507/9021/8784/916/975/3280/4915/3572/7006/9094/1946/79705/4739/2185/972/2475/253260",30
"GO:0001914","BP","GO:0001914","regulation of T cell mediated cytotoxicity","8/1578","24/17913",0.000724282484585046,0.00801679719212515,0.0060718434337534,"5788/2213/634/3133/3134/10859/5532/11035",8
"GO:0002861","BP","GO:0002861","regulation of inflammatory response to antigenic stimulus","8/1578","24/17913",0.000724282484585046,0.00801679719212515,0.0060718434337534,"1236/3586/4049/7124/975/2207/2213/3133",8
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","40/1578","269/17913",0.000725382309325669,0.00801679719212515,0.0060718434337534,"664/1026/54541/5366/2537/857/4688/54/3643/10365/6095/8837/1545/1647/2644/3383/3586/1728/9263/7124/706/2534/653361/83667/23564/80149/199/1906/83943/140885/378/1536/2309/2185/207/2643/3689/2475/5873/11035",40
"GO:0032653","BP","GO:0032653","regulation of interleukin-10 production","12/1578","48/17913",0.000728351553658903,0.00803419204208423,0.00608501812221988,"3662/9308/3146/29126/80380/201633/7292/2207/2213/29108/10859/28951",12
"GO:0019079","BP","GO:0019079","viral genome replication","22/1578","120/17913",0.000734096708143348,0.00808208192254187,0.0061212894471931,"3434/9636/6352/10581/7913/8519/8638/5359/7124/3669/5479/80149/57506/164668/4938/63901/2332/3312/3428/4940/9869/9217",22
"GO:0030889","BP","GO:0030889","negative regulation of B cell proliferation","6/1578","14/17913",0.000746979212656702,0.00813063574003269,0.00615806363155251,"4332/472/3586/11314/2213/3635",6
"GO:0044146","BP","GO:0044146","negative regulation of growth of symbiont involved in interaction with host","6/1578","14/17913",0.000746979212656702,0.00813063574003269,0.00615806363155251,"3394/820/3586/4049/7124/8878",6
"GO:0045953","BP","GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","6/1578","14/17913",0.000746979212656702,0.00813063574003269,0.00615806363155251,"5272/84868/634/3133/3134/10859",6
"GO:0070669","BP","GO:0070669","response to interleukin-2","6/1578","14/17913",0.000746979212656702,0.00813063574003269,0.00615806363155251,"3559/3560/3716/6776/2185/3561",6
"GO:0072677","BP","GO:0072677","eosinophil migration","6/1578","14/17913",0.000746979212656702,0.00813063574003269,0.00615806363155251,"101/6348/6352/3958/11314/23604",6
"GO:1902043","BP","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","6/1578","14/17913",0.000746979212656702,0.00813063574003269,0.00615806363155251,"5366/6498/4118/8682/467/11124",6
"GO:0010212","BP","GO:0010212","response to ionizing radiation","25/1578","144/17913",0.000768102663873682,0.00834478328034841,0.00632025687473419,"1026/3309/4609/472/598/641/1647/3383/5788/2625/4193/165918/6794/11073/221927/1958/388/79073/57646/7518/120227/26272/3428/5883/23514",25
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","33/1578","210/17913",0.000784310333580093,0.00845687284473981,0.00640515240960075,"101/7832/6348/1649/3162/3725/5641/1051/4605/472/598/1728/7124/10018/2534/8851/4915/429/468/1499/2625/2896/84678/835/1522/2309/4763/2185/997/2730/10525/26012/10617",33
"GO:0045429","BP","GO:0045429","positive regulation of nitric oxide biosynthetic process","11/1578","42/17913",0.000789028360559631,0.00845687284473981,0.00640515240960075,"3643/10365/3383/7124/23564/199/1906/2185/207/3689/2475",11
"GO:0048247","BP","GO:0048247","lymphocyte chemotaxis","11/1578","42/17913",0.000789028360559631,0.00845687284473981,0.00640515240960075,"101/6348/6351/2833/1880/6352/8740/387695/51192/2185/5293",11
"GO:0032615","BP","GO:0032615","interleukin-12 production","13/1578","55/17913",0.000789748874305098,0.00845687284473981,0.00640515240960075,"3659/3394/4050/1236/6504/54/958/3146/3586/201633/7292/7189/10859",13
"GO:0002577","BP","GO:0002577","regulation of antigen processing and presentation","7/1578","19/17913",0.000791638496581236,0.00845687284473981,0.00640515240960075,"1236/968/3112/3111/2213/29108/972",7
"GO:0002710","BP","GO:0002710","negative regulation of T cell mediated immunity","7/1578","19/17913",0.000791638496581236,0.00845687284473981,0.00640515240960075,"30009/5788/2213/634/3134/10859/5532",7
"GO:0034138","BP","GO:0034138","toll-like receptor 3 signaling pathway","7/1578","19/17913",0.000791638496581236,0.00845687284473981,0.00640515240960075,"857/7128/84868/26191/23180/81622/57162",7
"GO:0045076","BP","GO:0045076","regulation of interleukin-2 biosynthetic process","7/1578","19/17913",0.000791638496581236,0.00845687284473981,0.00640515240960075,"942/3662/7538/941/5788/916/3902",7
"GO:0050860","BP","GO:0050860","negative regulation of T cell receptor signaling pathway","7/1578","19/17913",0.000791638496581236,0.00845687284473981,0.00640515240960075,"2633/3958/10385/26191/634/7430/11006",7
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition","42/1578","288/17913",0.000809421470901224,0.00859205095249006,0.00650753498037811,"7832/1026/1031/3398/4609/28984/11040/6659/1032/1033/5530/6241/472/586/894/1027/1978/1647/51053/23594/1263/637/10385/2146/1029/3688/7298/199/387695/4193/25946/835/891/1021/207/997/10263/2672/79960/79447/5557/6872",42
"GO:0002828","BP","GO:0002828","regulation of type 2 immune response","9/1578","30/17913",0.000810261144008701,0.00859205095249006,0.00650753498037811,"942/301/30009/3566/975/7292/2625/5914/972",9
"GO:0046633","BP","GO:0046633","alpha-beta T cell proliferation","9/1578","30/17913",0.000810261144008701,0.00859205095249006,0.00650753498037811,"10148/3659/5788/1604/29126/916/975/7292/3133",9
"GO:0061082","BP","GO:0061082","myeloid leukocyte cytokine production","9/1578","30/17913",0.000810261144008701,0.00859205095249006,0.00650753498037811,"3162/10417/9188/2207/57506/23586/8482/972/10859",9
"GO:2001244","BP","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","14/1578","62/17913",0.000821103544448527,0.00869101876642393,0.00658249223036039,"1649/5366/90427/857/6498/27113/598/3932/10018/637/4690/6477/5883/11035",14
"GO:0071479","BP","GO:0071479","cellular response to ionizing radiation","15/1578","69/17913",0.000828262641289504,0.00875070878632104,0.00662770086501674,"1026/3309/472/598/641/1647/2625/4193/1958/388/79073/26272/3428/5883/23514",15
"GO:0010595","BP","GO:0010595","positive regulation of endothelial cell migration","23/1578","129/17913",0.000840962874604971,0.00886652712028787,0.00671542053332712,"3162/3315/5641/301/6678/811/958/3146/5286/6776/80149/652/1906/2625/2896/4215/2185/388/207/9564/2113/116150/6667",23
"GO:0019058","BP","GO:0019058","viral life cycle","46/1578","324/17913",0.000842304677804353,0.00886652712028787,0.00671542053332712,"942/3434/9636/3956/6352/27074/6504/857/10581/941/7913/3383/8519/8638/5359/7124/1604/3669/5479/6510/975/1380/3688/7293/80149/1656/2934/57506/7037/51271/79720/164668/4938/81929/972/1508/63901/2332/3312/3428/9688/4940/9869/7706/9217/11060",46
"GO:0045862","BP","GO:0045862","positive regulation of proteolysis","47/1578","333/17913",0.000846061325228156,0.0088898195450068,0.00673306198697705,"101/9709/5641/4609/5366/8743/10221/9447/1075/2023/834/857/355/10550/8837/3146/3932/1263/7124/7133/10018/2534/1453/80149/351/9994/2896/2934/4193/6091/10418/2185/29108/207/9451/2161/2332/2852/9026/3336/3428/4217/5978/51429/122809/6872/28951",47
"GO:0050729","BP","GO:0050729","positive regulation of inflammatory response","26/1578","153/17913",0.000848303925401439,0.00889714754546718,0.00673861214253314,"101/6348/4792/1236/1075/27250/26228/1051/283131/4049/7124/975/7292/351/2207/2896/55540/3572/8600/64332/2113/2161/3133/3689/222236/81793",26
"GO:0051701","BP","GO:0051701","interaction with host","33/1578","211/17913",0.000852918068095613,0.00892927679289916,0.00676294651889019,"942/3434/3956/6504/857/5272/10581/3643/598/941/3383/8519/10018/1604/3841/6510/975/999/1380/3688/7293/7298/80149/1499/1500/2934/7037/79720/972/1508/7706/9217/11060",33
"GO:0003823","MF","GO:0003823","antigen binding","28/1569","150/16969",0.000244812906242127,0.00904787699319861,0.00808526835089129,"3117/3119/3507/3514/28778/962/3123/3500/6504/3115/28908/3512/3676/958/3493/3105/3495/3122/5340/10417/3113/3902/140885/1718/3133/3134/11006/8140",28
"GO:0002708","BP","GO:0002708","positive regulation of lymphocyte mediated immunity","18/1578","91/17913",0.000867731961016777,0.00906787773418258,0.00686792151015857,"30009/2208/10666/958/4049/5788/7124/114836/975/8809/7292/2207/2625/3902/7037/7189/3133/3134",18
"GO:0005802","CC","GO:0005802","trans-Golgi network","31/1613","196/18678",0.000722511084829812,0.00918191170304552,0.00762122438164779,"3117/3119/3123/11031/9435/3115/5872/9367/22836/6653/11154/3482/8601/999/79094/22796/3122/351/2896/3113/192683/55016/84068/51760/23647/972/23122/2650/2852/84679/51429",31
"GO:0031348","BP","GO:0031348","negative regulation of defense response","36/1578","237/17913",0.000882369500720444,0.00920413692961651,0.00697112288612662,"11221/27250/5272/7128/54/100/4345/3479/4907/6095/3586/5788/7133/84868/3559/199713/9021/1269/80149/2625/2896/7850/140885/7130/2213/9258/9975/29108/634/2113/2852/3133/3134/3428/10859/84166",36
"GO:0035326","MF","GO:0035326","enhancer binding","24/1569","121/16969",0.000259680569366859,0.00921346660113616,0.00823324078876821,"3725/5966/6689/3148/7494/3015/8543/4772/5971/4800/6662/25976/196/468/1388/2625/5090/60/83881/9975/8553/3665/8932/6938",24
"GO:0043410","BP","GO:0043410","positive regulation of MAPK cascade","65/1578","499/17913",0.000900773729493196,0.00937912320871939,0.00710365577479834,"101/6348/4616/1880/3725/9294/388325/9618/1236/6504/1847/3479/3643/10550/1230/100133941/939/958/960/8837/2081/1647/3146/3383/1326/8682/5788/7124/2146/84868/653361/975/4915/5660/80149/351/652/1499/1906/2785/3487/4214/4215/197259/26191/6091/57551/8600/9839/25778/2213/9258/29937/2185/29108/8482/7189/972/1399/152007/2852/4217/23162/56005/285613",65
"GO:0050728","BP","GO:0050728","negative regulation of inflammatory response","28/1578","170/17913",0.000908016359097818,0.00941346587015487,0.00712966656917636,"11221/27250/7128/54/100/4345/3479/4907/6095/3586/5788/7133/3559/199713/9021/1269/80149/2625/2896/7850/140885/7130/2213/9258/9975/29108/2113/2852",28
"GO:0060767","BP","GO:0060767","epithelial cell proliferation involved in prostate gland development","5/1578","10/17913",0.00091051222487045,0.00941346587015487,0.00712966656917636,"1027/55840/6662/1499/6794",5
"GO:2000271","BP","GO:2000271","positive regulation of fibroblast apoptotic process","5/1578","10/17913",0.00091051222487045,0.00941346587015487,0.00712966656917636,"9262/9263/10018/637/694",5
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","57/1578","425/17913",0.000910611408418941,0.00941346587015487,0.00712966656917636,"2683/3162/3398/3725/4609/28984/55959/7538/677/6352/11221/3148/7494/857/1051/1992/6678/7128/3479/3676/1027/8837/55840/2081/2752/3146/3586/7124/60485/8742/3280/6662/6776/652/1499/2625/2896/3487/4830/116039/6091/6794/8600/1021/4763/864/207/634/120425/2475/56005/23385/5613/253260/6667/6772/55333",57
"GO:0030838","BP","GO:0030838","positive regulation of actin filament polymerization","17/1578","84/17913",0.000912747968614263,0.00941864301663249,0.00713358768905658,"274/1236/2017/51466/3055/3383/5217/2934/4690/55971/2185/29108/9026/2475/9463/253260/51429",17
"GO:0034644","BP","GO:0034644","cellular response to UV","16/1578","77/17913",0.000948276584742326,0.00976562763429479,0.0073963904295869,"1026/1396/4609/90427/92815/1643/56160/94241/468/4193/6794/114769/5429/57646/2332/6872",16
"GO:0006909","BP","GO:0006909","phagocytosis","44/1578","308/17913",0.000949765799792477,0.00976562763429479,0.0073963904295869,"3514/28778/3394/3500/3502/3503/11031/6504/26228/301/2268/28908/3539/4688/811/2212/3055/3146/5788/7124/9938/11314/2534/3560/3688/55646/10417/199/2207/2934/3683/4689/4690/140885/60/2213/29108/83871/5914/71/51411/3561/3689/5873",44
"GO:0005793","CC","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","21/1613","115/18678",0.000784538730947918,0.00976670665057612,0.00810661932515464,"3309/24141/1075/9262/811/3146/4925/1604/23259/340061/1453/966/326624/6091/81671/1522/4121/2055/56005/10130/121665",21
"GO:0002228","BP","GO:0002228","natural killer cell mediated immunity","14/1578","63/17913",0.000971498691497177,0.00993892732622304,0.00752764591370214,"5272/10383/10666/84868/114836/57823/3902/203068/634/3133/3134/10859/1130/5873",14
"GO:0043409","BP","GO:0043409","negative regulation of MAPK cascade","29/1578","179/17913",0.000972305000509392,0.00993892732622304,0.00752764591370214,"4609/11221/27250/857/1846/2633/5788/6653/7345/467/10385/11314/54900/11329/64853/652/26191/5998/140885/10771/4763/207/1540/3301/7430/2852/4089/55333/171392",29
"GO:0042771","BP","GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","11/1578","43/17913",0.000976976878541549,0.00993892732622304,0.00752764591370214,"1026/54541/960/23612/25946/29108/57646/972/204851/3428/3622",11
"GO:0043300","BP","GO:0043300","regulation of leukocyte degranulation","11/1578","43/17913",0.000976976878541549,0.00993892732622304,0.00752764591370214,"3162/2268/3566/11314/5724/2207/2213/8832/634/3134/3689",11
"GO:0097028","BP","GO:0097028","dendritic cell differentiation","11/1578","43/17913",0.000976976878541549,0.00993892732622304,0.00752764591370214,"3662/10538/1236/1051/3146/55509/5971/10537/2213/7189/10859",11
"GO:1904407","BP","GO:1904407","positive regulation of nitric oxide metabolic process","11/1578","43/17913",0.000976976878541549,0.00993892732622304,0.00752764591370214,"3643/10365/3383/7124/23564/199/1906/2185/207/3689/2475",11
"GO:0060330","BP","GO:0060330","regulation of response to interferon-gamma","8/1578","25/17913",0.000983593622328691,0.00995348344001512,0.00753867057128437,"8651/3459/83666/9021/3716/3460/84166/6772",8
"GO:0060334","BP","GO:0060334","regulation of interferon-gamma-mediated signaling pathway","8/1578","25/17913",0.000983593622328691,0.00995348344001512,0.00753867057128437,"8651/3459/83666/9021/3716/3460/84166/6772",8
"GO:1900101","BP","GO:1900101","regulation of endoplasmic reticulum unfolded protein response","8/1578","25/17913",0.000983593622328691,0.00995348344001512,0.00753867057128437,"3309/4189/7494/2081/10018/1388/4690/23645",8
"GO:0055037","CC","GO:0055037","recycling endosome","27/1613","164/18678",0.000832495778458208,0.0100678377815299,0.00835656595843985,"24141/933/7846/22876/3775/5872/6653/7124/3105/26276/29126/3688/80223/2532/351/255231/8572/192683/7037/54918/2923/23250/2852/3133/3134/84679/55610",27
"GO:0032588","CC","GO:0032588","trans-Golgi network membrane","17/1613","85/18678",0.000841737257144305,0.0100678377815299,0.00835656595843985,"3117/3119/3123/11031/3115/9367/22836/11154/3482/22796/3122/351/3113/192683/55016/23647/972",17
