"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","65/1578","199/17913",1.53694446197217e-21,4.21415533906465e-19,3.19175985260687e-19,"1026/10148/1880/3109/3659/4332/6352/933/10673/301/1051/3115/100/3479/472/100133941/958/970/160365/3146/3586/3958/51237/5788/115650/7133/10385/11314/952/1604/84868/3559/8379/29126/916/975/3280/80380/7293/7292/196/199/652/1499/3113/3572/7940/4690/4860/26191/7037/1178/2213/4773/29108/7189/283234/972/3133/23308/3635/10859/57162/11035/6654",65
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","95/1578","388/17913",1.19216559329848e-20,3.12022249373302e-18,2.36322586269646e-18,"8728/101/942/10370/10148/3109/3956/8651/6352/1236/11221/84807/10673/7494/301/151888/857/3115/100/6370/9308/3479/3566/3676/4814/5530/472/811/100133941/939/960/970/941/160365/9402/3146/3383/3586/3932/1326/5788/6281/7124/115650/8740/10385/1604/2534/84868/3559/5724/8784/29126/916/975/1435/10272/3280/80380/861/7292/463/199/2316/2625/3113/3572/3987/4690/4860/7037/8600/7248/1021/4739/64332/2185/29108/5914/864/7189/207/283234/972/1399/1540/2113/2319/3133/51144/23308/3689/10859/11006/285613",95
"GO:0042113","BP","GO:0042113","B cell activation","62/1578","215/17913",1.44081831865744e-17,3.60705733862154e-15,2.73194979139486e-15,"1026/1880/3398/9452/1316/3956/4332/931/64092/677/678/57379/10538/933/973/4189/3087/4066/10673/7494/30009/7128/100/3676/472/1235/939/958/112616/3586/51237/55795/5788/115650/11314/952/54900/975/1380/3688/2956/7293/7292/196/4683/165918/23075/7037/2213/3149/359948/4773/10039/2185/972/1540/55619/96459/23308/3635/57162/5293",62
"GO:0030217","BP","GO:0030217","T cell differentiation","65/1578","234/17913",1.92418496015465e-17,4.61644041690436e-15,3.49644661838628e-15,"101/942/1880/3659/3662/8651/677/678/10538/1236/11221/84807/639/6659/7494/301/30009/100/9308/3111/3566/6095/1235/939/941/3146/3932/5788/10385/3559/4063/5971/114836/6932/8784/916/8809/861/7292/80149/652/1499/2625/3902/4860/26191/6794/7248/1021/1958/2648/4773/64332/5914/399/864/972/1540/2841/11006/2475/5293/5532/11035/6654",65
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","74/1578","295/17913",5.72828975235741e-17,1.31933969576296e-14,9.992549239586e-15,"10148/3119/3514/28778/3662/4791/57379/10538/1075/3500/3502/3503/84807/10673/301/28908/3539/30009/7128/100/2208/3566/6095/1235/10666/939/958/941/3146/3383/3586/4049/5788/7124/115650/7133/1604/84868/4063/5971/114836/29126/975/1380/8809/2956/7292/80149/11118/2207/2625/10068/89857/4683/23180/165918/23075/7037/1178/2213/64332/10039/7189/972/634/3133/3134/3635/3665/10859/2475/5532/5873/11035",74
"GO:0042098","BP","GO:0042098","T cell proliferation","54/1578","177/17913",1.20097361025014e-16,2.65969463377704e-14,2.01442658593778e-14,"10148/3109/3659/6352/10673/301/1051/3115/3479/100133941/970/160365/3146/3586/3958/5788/115650/7133/8740/10385/1604/2534/84868/3559/8379/29126/916/975/3280/80380/7293/7292/199/652/11119/896/1499/3113/3572/4690/4860/7037/1178/29108/7189/283234/3133/23308/10859/23385/57162/5532/11035/6654",54
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","69/1578","267/17913",1.24976111812572e-16,2.66523130302514e-14,2.0186200048323e-14,"101/6348/942/3398/3659/3662/3725/4609/8651/10221/677/678/11221/84807/639/7494/301/1051/30009/100/9308/3111/3566/1230/939/941/2124/3146/55795/5788/54997/7124/10385/3559/8784/10766/1435/10272/7071/861/7292/80149/652/1499/2625/3902/4830/4860/8600/1021/2213/3149/2648/4763/4773/64332/5914/864/7189/972/634/1540/3635/3665/10859/11006/2475/6654/171392",69
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","96/1578","451/17913",1.81242801351027e-16,3.72712875064005e-14,2.82289069923799e-14,"6348/257144/3162/3398/3659/3662/4332/4609/4792/64092/8651/10221/1831/7538/677/933/11221/84807/26228/301/968/1051/3112/5272/30009/7128/100/6370/4345/3111/3566/472/2633/3146/3586/3958/5788/7124/10385/11314/1604/84868/3559/54900/8379/4212/10766/29126/1269/10272/3280/8365/23143/80380/861/6662/201633/7292/80149/652/966/1499/2207/2896/3902/7940/4830/26191/1021/2213/3149/9258/83881/4763/10039/2185/5914/864/207/972/8832/634/7430/2852/2841/3133/3134/3428/3635/10859/11006/84166/57162/5532/64783/171392",96
"GO:0034341","BP","GO:0034341","response to interferon-gamma","53/1578","173/17913",1.88778168900463e-16,3.74822309147885e-14,2.83886734575179e-14,"6348/3117/3119/3659/3662/3394/4502/8651/7431/6352/3123/3459/83666/834/3115/2634/10581/958/960/965/51466/2633/3055/3383/10437/8519/8638/3105/5724/9021/115361/3122/3716/199/1906/2934/3113/140885/10537/818/3460/4938/71/4261/2643/3133/3134/3665/10379/84166/4940/6772/7706",53
"GO:0009615","BP","GO:0009615","response to virus","77/1578","323/17913",2.8952536898468e-16,5.55695691537929e-14,4.20878457439835e-14,"330/664/6351/54541/51191/3315/10964/3434/3437/3659/9636/4600/5366/6039/9447/6367/6352/151636/2023/2537/3459/83666/11040/3925/2268/3433/30009/7128/10581/598/958/2633/8519/8638/5359/5788/7124/55509/10018/665/11100/3559/3669/340061/59/55601/10417/7292/80149/9188/5611/2316/2625/57506/51251/64108/81622/10771/164668/1021/23586/3460/4938/4953/29108/63901/2332/3428/3665/10379/10859/1130/84166/4940/9698/6772/7706",77
