genes	u	cv2	residualcv2	fitratio	pval	fdr
SPRR2A	0.0298501169981451	62.2801786832246	0.419619959629807	1.52138325868067	2.84535878803368e-24	1.32726906529469e-22
G0S2	151.659446391473	0.70678071314203	0.418782281567311	1.52010936293198	3.54657657080508e-24	1.64735476140531e-22
ZFP36	1.36718994180982	2.03313375674794	0.416323458427431	1.51637627423848	6.75007055012008e-24	3.12212123925807e-22
FILIP1L	0.313922046635615	6.5129903156414	0.413767500350201	1.5125054290186	1.31146138830553e-23	6.04043686496018e-22
CDKN2A	2.43833362688392	1.43739158509788	0.411455416095412	1.50901242864252	2.38148231587805e-23	1.09229326973453e-21
C1orf68	0.0436230275373367	42.4163291630163	0.409769012745383	1.50646976960458	3.67053651314918e-23	1.67651755238089e-21
CA2	0.388175944316195	5.3724075395055	0.408766323894118	1.50496000619979	4.74243771822794e-23	2.1571204260255e-21
BEX1	0.0213073143988757	85.8376897430392	0.406496516752325	1.50154791109346	8.44670703998664e-23	3.82614886662535e-21
SERPINE2	0.46447012491129	4.55869477689532	0.399115719909006	1.49050608985712	5.3747137274293e-22	2.42459308148477e-20
LRRC75A	0.865916557723296	2.76027818615157	0.398844370988646	1.49010169750704	5.74867307722727e-22	2.58266206035104e-20
PNRC1	5.12581196617193	1.03108868901794	0.397746249433794	1.48846628282049	7.5430262066764e-22	3.3749654399015e-20
NDRG4	0.0356536163666375	51.120581851878	0.397657729240065	1.48833452932829	7.70972801859824e-22	3.4355300219461e-20
S100A12	0.071562416890961	25.741575299109	0.394986352726999	1.48436393326285	1.4871466021802e-21	6.60004091218597e-20
MMP10	0.0403010568249047	45.170124595352	0.394700780454856	1.48394010060205	1.59484751461574e-21	7.04948324807165e-20
LINC01436	0.11808343727172	15.8464996420879	0.393663484136245	1.48240161307033	2.05493261230329e-21	9.04665513898342e-20
PELI1	1.32409631484666	2.03015636539289	0.393631853727193	1.48235472484248	2.07085087099008e-21	9.08026689911731e-20
DUSP1	2.60911284896644	1.35856219008201	0.389698032622153	1.47653486119713	5.37591373034879e-21	2.34783929530213e-19
KCNK5	0.0750294555413441	24.4517598981426	0.38961602275492	1.47641377573437	5.48323740036279e-21	2.38520826915781e-19
MT1M	0.0484686647350384	37.4483474107696	0.388729267045829	1.47510513769664	6.78775033654655e-21	2.94100075846732e-19
NEDD9	0.297968985214763	6.6125296254208	0.382187534750039	1.46548688908194	3.21965545094075e-20	1.38952216744931e-18
CTC-425F1.4	0.22076479201736	8.68270284315832	0.381254448979171	1.46412010188235	4.00997652792436e-20	1.72381814506301e-18
IGFBP3	7.79874072981088	0.894954242727228	0.380163968777317	1.46252437810883	5.1785442478422e-20	2.2174688298768e-18
NEURL3	1.28723020121743	2.04022897610119	0.379677472541702	1.46181303855043	5.80279007183361e-20	2.47510446565915e-18
ASB2	1.11535272905534	2.25032211211101	0.379071126281532	1.46092694234914	6.68557742880814e-20	2.84059301451918e-18
PRDM8	0.467132930569216	4.43531030110242	0.376537341931285	1.45722995418904	1.20473971935253e-19	5.09897946082719e-18
SLC44A4	0.368899819095879	5.42944544376262	0.374770864682974	1.45465806289193	1.81136912669553e-19	7.63701091032167e-18
HRASLS2	0.341376517321624	5.7980691162287	0.372096543985023	1.45077303794268	3.3441676713486e-19	1.40455042196641e-17
ZFP36L2	1.15633169256094	2.17890935132304	0.372062912112493	1.45072424654928	3.36994290102494e-19	1.40997381988684e-17
TNNT1	0.305201797077911	6.39237165272944	0.369855000259266	1.44752470873807	5.56876907582877e-19	2.32109682924848e-17
BMP2	0.740948035572079	3.01978014704754	0.369091501422199	1.4464199471021	6.61969619452548e-19	2.74867839713592e-17
SNAPC1	2.35788959977701	1.39754078268945	0.365746011292117	1.44158904881213	1.40502122927437e-18	5.8029126400289e-17
TPM1	4.60712601591674	1.03686487952295	0.365736184000047	1.44157488196511	1.40811417829565e-18	5.8029126400289e-17
ADIRF	3.88990931767508	1.10615609533075	0.365356967676148	1.4410283168775	1.53273143786958e-18	6.29280974603981e-17
MAP3K8	0.830245080749372	2.73806337712352	0.358910912655584	1.43176924337012	6.37804849314976e-18	2.60881222320551e-16
CSF1	0.96603822062818	2.44322357358864	0.358120778963435	1.43063840106869	7.58069091115113e-18	3.08920199881185e-16
CHST2	0.353214441607554	5.54419252345053	0.357454586115605	1.42968563739548	8.76622995699612e-18	3.55908936254042e-16
MSC	0.0708205138036717	24.9879066604176	0.355122826706404	1.42635583811239	1.45416090337112e-17	5.88210768367315e-16
MRGPRX3	0.280480006836803	6.79618599665658	0.355058050744271	1.42626344753301	1.4746694158755e-17	5.94313460912764e-16
IL20RB	0.263511759951104	7.18978256183803	0.354771792574939	1.42585522640064	1.56876469520645e-17	6.2991936222905e-16
HMGB3	2.20192699329918	1.43393042960351	0.354693569498566	1.42574369598055	1.59548996739873e-17	6.38312446081199e-16
CXCL1	33.9293830469248	0.701016555828983	0.352835407334912	1.42309689284589	2.38020405282315e-17	9.48792611892633e-16
SERPINB13	0.0591370027433829	29.6880402146102	0.351495987584991	1.42119204474193	3.17089938960214e-17	1.25939851843546e-15
TAGLN3	0.434702641825476	4.59297901061089	0.349995256070581	1.41906081665293	4.36619137064007e-17	1.72787688826558e-15
SNPH	0.215800230351582	8.58522002819635	0.348953393986633	1.4175831209045	5.44681597749429e-17	2.14776966709685e-15
CHAC1	0.147934906205778	12.2251446799493	0.348841398451018	1.41742436681364	5.57759402167064e-17	2.19145468335317e-15
CITED2	0.948150324881805	2.45093593968667	0.347549321267245	1.41559412778922	7.32907452421924e-17	2.86933267623183e-15
SLC39A8	2.1292041240577	1.43842281608844	0.339357394751361	1.4040450538863	4.0292808858115e-16	1.57184971780305e-14
DSG3	0.191988927204974	9.43410560100215	0.334687993431608	1.3975042866764	1.04249528850781e-15	4.05242317468887e-14
INSIG1	0.046571249463504	36.8735042999298	0.334030757106167	1.39658609786081	1.19030571403667e-15	4.6106470803074e-14
TM4SF1	0.463672407645236	4.27141518736222	0.33256226514901	1.39453672751884	1.59902267584291e-15	6.17200231429225e-14
PNMA2	0.108411554447433	16.179422764786	0.332505965905245	1.3944582183657	1.61717337233662e-15	6.22015947633475e-14
PLA2G4D	0.0712936480971988	24.1807018552359	0.328770001752248	1.38925829186667	3.40353920301423e-15	1.3045313546658e-13
SNCG	0.912039339476447	2.46821968139318	0.325849858560686	1.3852073762298	6.04837493822051e-15	2.31018418372032e-13
KCCAT211	0.778525351245411	2.77612245121381	0.323393888360227	1.38180952241411	9.76549258252034e-15	3.71699061422181e-13
CAMK2N1	2.38893196291349	1.32690919601361	0.32077681405016	1.37819795214681	1.61969116548924e-14	6.1436174934578e-13
C11orf96	0.0394164053964186	42.8732862394878	0.320647830262844	1.37802019841919	1.66038874691128e-14	6.27626946332463e-13
GK	0.127194607100209	13.6886718678413	0.318317146934684	1.3748122095721	2.59483973510278e-14	9.77478803305727e-13
ID3	3.98068337595168	1.04551486909961	0.31824613557119	1.37471458574879	2.63022674123373e-14	9.87415943061784e-13
PPP1R14A	0.427204103878507	4.51039177427014	0.316888622111593	1.37284965831398	3.40537990657326e-14	1.27405373842512e-12
ALPL	0.0835707491485991	20.3964629201637	0.312951861102561	1.36745570163337	7.15158783573734e-14	2.66652060732492e-12
CD200	0.184275591449255	9.58378633166649	0.312147489523417	1.36635620139389	8.31159091944587e-14	3.08853083589714e-12
TK1	0.142700191153485	12.1852951940593	0.311426583160173	1.36537154148029	9.50672924861777e-14	3.52070155484284e-12
GS1-124K5.4	0.08475289795225	20.0752783525887	0.310692561538727	1.36436969698028	1.08964126031972e-13	4.02176683354371e-12
PTGER4	0.340551026816908	5.4588698246023	0.309668857703841	1.36297370115433	1.31721688251206e-13	4.84541324365677e-12
KRT16	0.113131029586651	15.1380641138718	0.306876995094796	1.3591737727482	2.20168855359e-13	8.07187622891425e-12
EGFLAM	0.0493858483712239	33.8423663467702	0.305885980712802	1.35782747920009	2.6387773208863e-13	9.64209233051853e-12
ERRFI1	2.50937978052774	1.27282722902398	0.304704736565737	1.35622450037863	3.27170091410631e-13	1.19150782127686e-11
ALMS1	0.113365250500084	15.0602792533816	0.303708652222996	1.35487425897736	3.91916902010683e-13	1.42258049001361e-11
DUSP4	2.46182004562732	1.28328840738905	0.303026812793239	1.35395076715757	4.43311022283653e-13	1.60382027269749e-11
TLR2	0.19826899375378	8.81848068877362	0.297181286270118	1.34605929940025	1.25887976190926e-12	4.53942103620043e-11
TRAF1	0.156720069799833	10.9909303296127	0.296964245011392	1.34576718069765	1.30805036791533e-12	4.70126168297961e-11
ICAM1	5.88617553133679	0.891101073508558	0.296788343077185	1.34553047846637	1.34927556210095e-12	4.83358127834987e-11
NPPC	0.037735705160655	43.6950144029528	0.296684028455485	1.34539012728399	1.37432104340695e-12	4.90726621427589e-11
CRYAB	0.051441656580918	32.2068470748014	0.296373003727059	1.34497174275236	1.45172815630078e-12	5.16683248356142e-11
PVRL4	0.279203758026291	6.42505611090995	0.294777709727823	1.34282782794391	1.92091201761644e-12	6.81457525472863e-11
CD70	0.0386321081348069	42.5030213126691	0.292168004288745	1.33932801158877	3.0261655995235e-12	1.07009120328957e-10
ADAMTS14	0.030980999876706	52.832180276761	0.291859737642368	1.33891520506475	3.19212339415724e-12	1.12514651597272e-10
GPX3	0.0586621992689771	28.1881965227764	0.291769416529733	1.33879427821491	3.24241225035524e-12	1.13920907334597e-10
ST3GAL4-AS1	0.0592802787161643	27.7985979708811	0.288104146041257	1.33389621690009	6.08674877147892e-12	2.13172332373648e-10
FOS	0.241337828259717	7.28779279551385	0.288066709413335	1.33384628125845	6.12575018100906e-12	2.13855011096246e-10
KLK6	0.118568581171355	14.1830665436642	0.286688051988898	1.33200863121574	7.74523198894815e-12	2.69534073215396e-10
RRP12	0.483734979418403	3.93246043308147	0.285806413809319	1.33083479907458	8.99288890735916e-12	3.11962177855921e-10
SAA2	5.19569407787376	0.91672755280906	0.284773613316271	1.32946102177898	1.07054436155881e-11	3.70198968183206e-10
